Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
Forbidden Fruit (feat. Kendrick Lamar),Born Sinner,18-06-13,268666,,
Chaining Day,Born Sinner,18-06-13,284506,,
Ain't That Some Shit - Interlude,Born Sinner,18-06-13,147413,,
Crooked Smile (feat. TLC),Born Sinner,18-06-13,278573,,
Let Nas Down,Born Sinner,18-06-13,277200,,
Born Sinner (feat. James Fauntleroy),Born Sinner,18-06-13,209360,,
Villuminati,Born Sinner,18-06-13,307893,,
Kerney Sermon - Skit,Born Sinner,18-06-13,46146,,
Land Of The Snakes,Born Sinner,18-06-13,254453,,
Power Trip (feat. Miguel),Born Sinner,18-06-13,241080,,
Mo Money - Interlude,Born Sinner,18-06-13,77720,,
Trouble,Born Sinner,18-06-13,258493,,
Runaway,Born Sinner,18-06-13,314333,,
She Knows (feat. Amber Coffman & Cults),Born Sinner,18-06-13,296586,,
Rich N****z,Born Sinner,18-06-13,276093,,
Where's Jermaine? - Skit,Born Sinner,18-06-13,36626,,
Forbidden Fruit (feat. Kendrick Lamar),Born Sinner,18-06-13,268640,,
Chaining Day,Born Sinner,18-06-13,284506,,
Ain't That Some S*** - Interlude,Born Sinner,18-06-13,147400,,
Crooked Smile (feat. TLC),Born Sinner,18-06-13,278573,,
Let Nas Down,Born Sinner,18-06-13,277280,,
Born Sinner (feat. James Fauntleroy),Born Sinner,18-06-13,209506,,
Intro,Cole World: The Sideline Story,27-09-11,82613,,
Dollar And A Dream III,Cole World: The Sideline Story,27-09-11,283066,,
Can't Get Enough,Cole World: The Sideline Story,27-09-11,225960,,
Lights Please,Cole World: The Sideline Story,27-09-11,208160,,
Interlude,Cole World: The Sideline Story,27-09-11,99680,,
Sideline Story,Cole World: The Sideline Story,27-09-11,237853,,
Mr. Nice Watch,Cole World: The Sideline Story,27-09-11,237946,,
Cole World,Cole World: The Sideline Story,27-09-11,184586,,
In The Morning,Cole World: The Sideline Story,27-09-11,234386,,
Lost Ones,Cole World: The Sideline Story,27-09-11,263720,,
Nobody's Perfect,Cole World: The Sideline Story,27-09-11,190653,,
Never Told,Cole World: The Sideline Story,27-09-11,211520,,
Rise and Shine,Cole World: The Sideline Story,27-09-11,274960,,
God's Gift,Cole World: The Sideline Story,27-09-11,212800,,
Breakdown,Cole World: The Sideline Story,27-09-11,285306,,
Work Out,Cole World: The Sideline Story,27-09-11,235320,,
Intro,Cole World: The Sideline Story,27-09-11,82613,,
Dollar And A Dream III,Cole World: The Sideline Story,27-09-11,283066,,
Can't Get Enough,Cole World: The Sideline Story,27-09-11,225960,,
Lights Please,Cole World: The Sideline Story,27-09-11,208160,,
Interlude,Cole World: The Sideline Story,27-09-11,99680,,
