Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Music To Be Murdered By,2020-01-17,234639
Alfred - Interlude,Music To Be Murdered By,2020-01-17,30133
Those Kinda Nights (feat. Ed Sheeran),Music To Be Murdered By,2020-01-17,177693
In Too Deep,Music To Be Murdered By,2020-01-17,194703
Godzilla (feat. Juice WRLD),Music To Be Murdered By,2020-01-17,210800
Darkness,Music To Be Murdered By,2020-01-17,337146
Leaving Heaven (feat. Skylar Grey),Music To Be Murdered By,2020-01-17,265946
"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Music To Be Murdered By,2020-01-17,286948
Stepdad - Intro,Music To Be Murdered By,2020-01-17,15160
Stepdad,Music To Be Murdered By,2020-01-17,213413
Marsh,Music To Be Murdered By,2020-01-17,200573
Never Love Again,Music To Be Murdered By,2020-01-17,177546
Little Engine,Music To Be Murdered By,2020-01-17,177293
Lock It Up (feat. Anderson .Paak),Music To Be Murdered By,2020-01-17,170212
Farewell,Music To Be Murdered By,2020-01-17,247733
No Regrets (feat. Don Toliver),Music To Be Murdered By,2020-01-17,200932
"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Music To Be Murdered By,2020-01-17,303011
Alfred - Outro,Music To Be Murdered By,2020-01-17,39186
The Ringer,Kamikaze,2018-08-31,337941
Greatest,Kamikaze,2018-08-31,226937
Lucky You (feat. Joyner Lucas),Kamikaze,2018-08-31,244679
Paul - Skit,Kamikaze,2018-08-31,35240
Normal,Kamikaze,2018-08-31,222477
Em Calls Paul - Skit,Kamikaze,2018-08-31,49023
Stepping Stone,Kamikaze,2018-08-31,309637
Not Alike (feat. Royce Da 5'9),Kamikaze,2018-08-31,288086
Kamikaze,Kamikaze,2018-08-31,216029
Fall,Kamikaze,2018-08-31,262493
Nice Guy (with Jessie Reyez),Kamikaze,2018-08-31,150801
Good Guy (feat. Jessie Reyez),Kamikaze,2018-08-31,142192
Venom - Music From The Motion Picture,Kamikaze,2018-08-31,269554
The Ringer,Kamikaze,2018-08-31,337941
Greatest,Kamikaze,2018-08-31,226937
Lucky You (feat. Joyner Lucas),Kamikaze,2018-08-31,244679
Paul - Skit,Kamikaze,2018-08-31,35240
Normal,Kamikaze,2018-08-31,222477
Em Calls Paul - Skit,Kamikaze,2018-08-31,49023
Stepping Stone,Kamikaze,2018-08-31,309637
Not Alike (feat. Royce Da 5'9),Kamikaze,2018-08-31,288086
Kamikaze,Kamikaze,2018-08-31,216029
Fall,Kamikaze,2018-08-31,262493
Nice Guy (with Jessie Reyez),Kamikaze,2018-08-31,150801
Good Guy (feat. Jessie Reyez),Kamikaze,2018-08-31,142192
Venom - Music From The Motion Picture,Kamikaze,2018-08-31,269554
The Ringer,Kamikaze,2018-08-31,337941
Greatest,Kamikaze,2018-08-31,226937
Lucky You,Kamikaze,2018-08-31,244679
Paul - Skit,Kamikaze,2018-08-31,35240
Normal,Kamikaze,2018-08-31,222477
Em Calls Paul - Skit,Kamikaze,2018-08-31,49023
Stepping Stone,Kamikaze,2018-08-31,309637
Not Alike,Kamikaze,2018-08-31,288086
Kamikaze,Kamikaze,2018-08-31,216029
Fall,Kamikaze,2018-08-31,262493
Nice Guy,Kamikaze,2018-08-31,150801
Good Guy,Kamikaze,2018-08-31,142192
Venom - Music From The Motion Picture,Kamikaze,2018-08-31,269554
Walk On Water (feat. Beyoncé),Revival,2017-12-15,303640
Believe,Revival,2017-12-15,315346
Chloraseptic (feat. Phresher),Revival,2017-12-15,301146
Untouchable,Revival,2017-12-15,370133
River (feat. Ed Sheeran),Revival,2017-12-15,221013
Remind Me (Intro),Revival,2017-12-15,26333
Remind Me,Revival,2017-12-15,225173
Revival (Interlude),Revival,2017-12-15,51826
Like Home (feat. Alicia Keys),Revival,2017-12-15,245466
Bad Husband (feat. X Ambassadors),Revival,2017-12-15,287893
Tragic Endings (feat. Skylar Grey),Revival,2017-12-15,252026
Framed,Revival,2017-12-15,252960
Nowhere Fast (feat. Kehlani),Revival,2017-12-15,264173
Heat,Revival,2017-12-15,250000
Offended,Revival,2017-12-15,320920
Need Me (feat. Pink),Revival,2017-12-15,265466
In Your Head,Revival,2017-12-15,182640
Castle,Revival,2017-12-15,254760
Arose,Revival,2017-12-15,274626
Walk On Water,Revival,2017-12-15,303640
Believe,Revival,2017-12-15,315346
Chloraseptic,Revival,2017-12-15,301146
Untouchable,Revival,2017-12-15,370133
River,Revival,2017-12-15,221013
Remind Me (Intro),Revival,2017-12-15,26333
Remind Me,Revival,2017-12-15,225173
Revival (Interlude),Revival,2017-12-15,51826
Like Home,Revival,2017-12-15,245466
Bad Husband,Revival,2017-12-15,287893
Tragic Endings,Revival,2017-12-15,252026
Framed,Revival,2017-12-15,252960
Nowhere Fast,Revival,2017-12-15,264173
Heat,Revival,2017-12-15,250000
Offended,Revival,2017-12-15,320920
Need Me,Revival,2017-12-15,265466
In Your Head,Revival,2017-12-15,182640
Castle,Revival,2017-12-15,254760
Arose,Revival,2017-12-15,274626
Walk On Water,Revival,2017-12-15,303653
Believe,Revival,2017-12-15,315360
Chloraseptic,Revival,2017-12-15,301146
Untouchable,Revival,2017-12-15,370120
River,Revival,2017-12-15,221013
Remind Me (Intro),Revival,2017-12-15,26346
Remind Me,Revival,2017-12-15,225173
Revival (Interlude),Revival,2017-12-15,51826
Like Home,Revival,2017-12-15,245453
Bad Husband,Revival,2017-12-15,287906
Tragic Endings,Revival,2017-12-15,252026
Framed,Revival,2017-12-15,252960
Nowhere Fast,Revival,2017-12-15,264280
Heat,Revival,2017-12-15,250000
Offended,Revival,2017-12-15,320920
Need Me,Revival,2017-12-15,265480
In Your Head,Revival,2017-12-15,182680
Castle,Revival,2017-12-15,254693
Arose,Revival,2017-12-15,274640
Walk On Water (feat. Beyoncé),Revival,2017-12-14,303653
Believe,Revival,2017-12-14,315360
Chloraseptic (feat. Phresher),Revival,2017-12-14,301146
Untouchable,Revival,2017-12-14,370120
River (feat. Ed Sheeran),Revival,2017-12-14,221013
Remind Me (Intro),Revival,2017-12-14,26346
Remind Me,Revival,2017-12-14,225173
Revival (Interlude),Revival,2017-12-14,51826
Like Home (Alicia Keys),Revival,2017-12-14,245453
Bad Husband (feat. X Ambassadors),Revival,2017-12-14,287906
Tragic Endings (feat. Skylar Grey),Revival,2017-12-14,252026
Framed,Revival,2017-12-14,252960
Nowhere Fast (feat. Kehlani),Revival,2017-12-14,264280
Heat,Revival,2017-12-14,250000
Offended,Revival,2017-12-14,320920
Need Me (feat. Pink),Revival,2017-12-14,265480
In Your Head,Revival,2017-12-14,182680
Castle,Revival,2017-12-14,254693
Arose,Revival,2017-12-14,274640
Bad Guy,The Marshall Mathers LP2 (Deluxe),2013-11-05,434077
Parking Lot - Skit,The Marshall Mathers LP2 (Deluxe),2013-11-05,55337
Rhyme Or Reason,The Marshall Mathers LP2 (Deluxe),2013-11-05,301721
So Much Better,The Marshall Mathers LP2 (Deluxe),2013-11-05,261386
Survival,The Marshall Mathers LP2 (Deluxe),2013-11-05,272417
Legacy,The Marshall Mathers LP2 (Deluxe),2013-11-05,296269
Asshole,The Marshall Mathers LP2 (Deluxe),2013-11-05,288983
Berzerk,The Marshall Mathers LP2 (Deluxe),2013-11-05,238746
Rap God,The Marshall Mathers LP2 (Deluxe),2013-11-05,363521
Brainless,The Marshall Mathers LP2 (Deluxe),2013-11-05,286525
Stronger Than I Was,The Marshall Mathers LP2 (Deluxe),2013-11-05,336519
The Monster,The Marshall Mathers LP2 (Deluxe),2013-11-05,250188
So Far...,The Marshall Mathers LP2 (Deluxe),2013-11-05,317580
Love Game,The Marshall Mathers LP2 (Deluxe),2013-11-05,296953
Headlights,The Marshall Mathers LP2 (Deluxe),2013-11-05,343032
Evil Twin,The Marshall Mathers LP2 (Deluxe),2013-11-05,356846
Baby,The Marshall Mathers LP2 (Deluxe),2013-11-05,263058
Desperation,The Marshall Mathers LP2 (Deluxe),2013-11-05,236658
Groundhog Day,The Marshall Mathers LP2 (Deluxe),2013-11-05,293423
Beautiful Pain,The Marshall Mathers LP2 (Deluxe),2013-11-05,265025
Wicked Ways,The Marshall Mathers LP2 (Deluxe),2013-11-05,391416
Bad Guy,The Marshall Mathers LP2,2013-11-05,434077
Parking Lot - Skit,The Marshall Mathers LP2,2013-11-05,55337
Rhyme Or Reason,The Marshall Mathers LP2,2013-11-05,301721
So Much Better,The Marshall Mathers LP2,2013-11-05,261386
Survival,The Marshall Mathers LP2,2013-11-05,272417
Legacy,The Marshall Mathers LP2,2013-11-05,296269
Asshole,The Marshall Mathers LP2,2013-11-05,288983
Berzerk,The Marshall Mathers LP2,2013-11-05,238746
Rap God,The Marshall Mathers LP2,2013-11-05,363521
Brainless,The Marshall Mathers LP2,2013-11-05,286525
Stronger Than I Was,The Marshall Mathers LP2,2013-11-05,336519
The Monster,The Marshall Mathers LP2,2013-11-05,250188
So Far...,The Marshall Mathers LP2,2013-11-05,317580
Love Game,The Marshall Mathers LP2,2013-11-05,296953
Headlights,The Marshall Mathers LP2,2013-11-05,343032
Evil Twin - Skit,The Marshall Mathers LP2,2013-11-05,453925
Bad Guy,The Marshall Mathers LP2 (Deluxe),2013-11-05,434077
Parking Lot (skit),The Marshall Mathers LP2 (Deluxe),2013-11-05,55337
Rhyme Or Reason,The Marshall Mathers LP2 (Deluxe),2013-11-05,301721
So Much Better,The Marshall Mathers LP2 (Deluxe),2013-11-05,261386
Survival,The Marshall Mathers LP2 (Deluxe),2013-11-05,272417
Legacy,The Marshall Mathers LP2 (Deluxe),2013-11-05,296269
*******,The Marshall Mathers LP2 (Deluxe),2013-11-05,290683
Berzerk,The Marshall Mathers LP2 (Deluxe),2013-11-05,238746
Rap God,The Marshall Mathers LP2 (Deluxe),2013-11-05,363521
Brainless,The Marshall Mathers LP2 (Deluxe),2013-11-05,286525
Stronger Than I Was,The Marshall Mathers LP2 (Deluxe),2013-11-05,336519
The Monster,The Marshall Mathers LP2 (Deluxe),2013-11-05,250188
So Far...,The Marshall Mathers LP2 (Deluxe),2013-11-05,317580
Love Game,The Marshall Mathers LP2 (Deluxe),2013-11-05,296953
Headlights,The Marshall Mathers LP2 (Deluxe),2013-11-05,343032
Evil Twin,The Marshall Mathers LP2 (Deluxe),2013-11-05,356877
Baby,The Marshall Mathers LP2 (Deluxe),2013-11-05,263058
Desperation,The Marshall Mathers LP2 (Deluxe),2013-11-05,236658
Groundhog Day,The Marshall Mathers LP2 (Deluxe),2013-11-05,293423
Beautiful Pain,The Marshall Mathers LP2 (Deluxe),2013-11-05,265022
Wicked Ways,The Marshall Mathers LP2 (Deluxe),2013-11-05,391219
Bad Guy,The Marshall Mathers LP2,2013-11-05,434077
Parking Lot (skit),The Marshall Mathers LP2,2013-11-05,55337
Rhyme Or Reason,The Marshall Mathers LP2,2013-11-05,301721
So Much Better,The Marshall Mathers LP2,2013-11-05,261386
Survival,The Marshall Mathers LP2,2013-11-05,272417
Legacy,The Marshall Mathers LP2,2013-11-05,296269
*******,The Marshall Mathers LP2,2013-11-05,290683
Berzerk,The Marshall Mathers LP2,2013-11-05,238746
Rap God,The Marshall Mathers LP2,2013-11-05,363521
Brainless,The Marshall Mathers LP2,2013-11-05,286525
Stronger Than I Was,The Marshall Mathers LP2,2013-11-05,336519
The Monster,The Marshall Mathers LP2,2013-11-05,250188
So Far...,The Marshall Mathers LP2,2013-11-05,317580
Love Game,The Marshall Mathers LP2,2013-11-05,296953
Headlights,The Marshall Mathers LP2,2013-11-05,343032
